0:PR-Year	1:PR-CarMake	2:PR-CarModel	3:PR-CarBodyStyle	4:PR-Color	5:CT-CarEngine:PR-EngineCapacity	5:CT-CarEngine:PR-CarCylinders	6:PR-CarMileage	7:PR-Price	8:PR-VIN	9:PR-Price
NULL	lincoln	town car sig	NULL	white	NULL	NULL	20 , 866	NULL	NULL	NULL
NULL	chevrole	suburban c15	NULL	charcoal	NULL	NULL	50 , 523	NULL	NULL	NULL
NULL	lincoln	navigator 2wd	NULL	null	NULL	NULL	30 , 000	NULL	NULL	NULL
NULL	lincoln	town car sig	NULL	white	NULL	NULL	20 , 866	NULL	NULL	NULL
NULL	chevrole	suburban c15	NULL	charcoal	NULL	NULL	50 , 523	NULL	NULL	NULL
NULL	lincoln	ls v8	NULL	null	NULL	NULL	21 , 734	NULL	NULL	NULL
NULL	acura	2.2cl premium	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	acura	2.5tl	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	acura	3.2cl	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	acura	3.2tl	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	acura	integra gs	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	acura	integra ls	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	buick	century custom	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	chevrolet	astro	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	chevrolet	camaro	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	chevrolet	impala	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	lincoln	ls	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	lincoln	navigator	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	lincoln	navigator	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	lincoln	town car executive	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	mazda	626	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	mazda	millenia s	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	mazda	protege	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	mercury	cougar	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	mercury	mountaineer	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	mercury	mountaineer	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	chevrolet	impala	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	chevrolet	impala	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	chevrolet	malibu	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	chevrolet	prizm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	chevrolet	s-10	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	chevrolet	venture	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	chrysler	pt cruiser classic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	chrysler	voyager	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	dodge	dakota	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	dodge	durango slt	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	dodge	intrepid	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	dodge	intrepid se	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	dodge	intrepid se	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	dodge	ram 1500	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ford	escape xls	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ford	escape xls	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ford	escape xls	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ford	escape xlt	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ford	excursion limited	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ford	excursion limited	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ford	mustang	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ford	mustang	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ford	mustang	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ford	mustang	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ford	mustang	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ford	mustang	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ford	mustang gt	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ford	mustang gt	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ford	ranger	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ford	ranger	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ford	ranger	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ford	ranger	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ford	ranger	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ford	ranger	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ford	ranger	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ford	ranger xlt	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ford	ranger xlt	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ford	taurus se	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ford	taurus se	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ford	taurus se	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ford	expedition	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ford	expedition	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ford	expedition xlt	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ford	expedition xlt	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ford	expedition xlt	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ford	expedition xlt	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ford	expedition xlt	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ford	expedition xlt	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ford	expedition xlt	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ford	expedition xlt	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	lincoln	ls	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	lincoln	navigator	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	lincoln	navigator	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	lincoln	town car executive	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	mazda	626	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	mazda	millenia s	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	mazda	protege	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	mercury	cougar	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	mercury	mountaineer	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	mercury	mountaineer	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	honda	civic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	honda	civic dx	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	honda	civic dx	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	honda	civic dx	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	honda	civic dx	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	honda	civic ex	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	honda	civic ex	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	honda	civic ex	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	honda	civic ex	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	lincoln	ls	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	lincoln	navigator	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	lincoln	navigator	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	lincoln	town car executive	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	mazda	626	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	mazda	millenia s	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	mazda	protege	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	mercury	cougar	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	mercury	mountaineer	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ford	explorer xlt	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ford	explorer xlt 4x4	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ford	f-150	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ford	f-150	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ford	f-150	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ford	f-150	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ford	f-150	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	null	f-150 supercrew	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	null	f-150 supercrew	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ford	f-350	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	chevrolet	impala	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	chevrolet	impala	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	chevrolet	malibu	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	chevrolet	prizm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	chevrolet	s-10	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	chevrolet	venture	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	chrysler	pt cruiser classic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	chrysler	voyager	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	dodge	dakota	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	dodge	durango slt	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
